id;comment;picture;picture_content_type
1;Direct Metal Optimization;../fake-data/blob/hipster.png;image/png
2;clicks-and-mortar transmitting payment;../fake-data/blob/hipster.png;image/png
3;Points;../fake-data/blob/hipster.png;image/png
4;invoice Shirt;../fake-data/blob/hipster.png;image/png
5;index;../fake-data/blob/hipster.png;image/png
6;Puerto Rico;../fake-data/blob/hipster.png;image/png
7;white platforms Plastic;../fake-data/blob/hipster.png;image/png
8;Steel SSL homogeneous;../fake-data/blob/hipster.png;image/png
9;Auto Loan Account Handcrafted;../fake-data/blob/hipster.png;image/png
10;Pizza Managed;../fake-data/blob/hipster.png;image/png
